frame number,frequency,latency
1028,15,14143
1029,15,10850
1030,15,9448
1031,15,11004
1032,15,10962
1033,15,9561
1034,15,14924
1035,15,16144
1036,15,15122
1037,15,10408
1038,15,9856
1039,15,28082
1040,15,8351
1041,15,9459
1042,15,8995
1043,15,26736
1044,15,8496
1045,15,9249
1046,15,28569
1047,15,8310
1048,15,17627
1049,15,14767
1050,15,9591
1051,15,8808
1052,15,8027
1053,15,9454
1054,15,8909
1055,15,12272
1056,15,10099
1057,15,8519
1058,15,9973
1059,15,12242
1060,15,19632
1061,15,9748
1062,15,28655
1063,15,9781
1064,15,8509
1065,15,10959
1066,15,8308
1067,15,9926
1068,15,9346
1069,15,8618
1070,15,29199
1071,15,9349
1072,15,8568
1073,15,13333
1074,15,13705
1075,15,20426
1076,15,9758
1077,15,9742
1078,15,9579
1079,15,10679
1080,15,9090
1081,15,9265
1082,15,8713
1083,15,9084
1084,15,9034
1085,15,8660
1086,15,13598
1087,15,12874
1088,15,8551
1089,15,8978
1090,15,9078
1091,15,8696
1092,15,11377
1093,15,8835
1094,15,8511
1095,15,9335
1096,15,8462
1097,15,8262
1098,15,9012
1099,15,8616
1100,15,8916
1101,15,8797
1102,15,7984
1103,15,13129
1104,15,9135
1105,15,12633
1106,15,29221
1107,15,8337
1108,15,8373
1109,15,8794
1110,15,14840
1111,15,14060
1112,15,9944
1113,15,9906
1114,15,10518
1115,15,8673
1116,15,12807
1117,15,11369
1118,15,9155
1119,15,8604
1120,15,8646
1121,15,8660
1122,15,8559
1123,15,18180
1124,15,15341
1125,15,13856
1126,15,15469
1127,15,14348
1128,15,18045
1129,15,9560
1130,15,28383
1131,15,9786
1132,15,27998
1133,15,8169
1134,15,8683
1135,15,19608
1136,15,8995
1137,15,9880
1138,15,8624
1139,15,8406
1140,15,9434
1141,15,8834
1142,15,8363
1143,15,28378
1144,15,8737
1145,15,27909
1146,15,11814
1147,15,8595
1148,15,9333
1149,15,17593
1150,15,10137
1151,15,10845
1152,15,28419
1153,15,9367
1154,15,10753
1155,15,22951
1156,15,25074
1157,15,17149
1158,15,16998
1159,15,22353
1160,15,27037
1161,15,21367
1162,15,36096
1163,15,31685
1164,15,21331
1165,15,47384
1166,15,32863
1167,15,16391
1168,15,14469
1169,15,14072
1170,15,13780
1171,15,28498
1172,15,10780
1173,15,9236
1174,15,8759
1175,15,9956
1176,15,27624
1177,15,8867
1178,15,29221
1179,15,7998
1180,15,17489
1181,15,9902
1182,15,10892
1183,15,14082
1184,15,9650
1185,15,9712
1186,15,11168
1187,15,28599
1188,15,8849
1189,15,10183
1190,15,8733
1191,15,9792
1192,15,9981
1193,15,8819
1194,15,8321
1195,15,8632
1196,15,15149
1197,15,17942
1198,15,15420
1199,15,9256
1200,15,14263
1201,15,15112
1202,15,14177
1203,15,10991
1204,15,8467
1205,15,8099
1206,15,11228
1207,15,10921
1208,15,8159
1209,15,8665
1210,15,8246
1211,15,9392
1212,15,9060
1213,15,20297
1214,15,10720
1215,15,8596
1216,15,8551
1217,15,9981
1218,15,9196
1219,15,8108
1220,15,15021
1221,15,8621
1222,15,8500
1223,15,8432
1224,15,13920
1225,15,16416
1226,15,9869
1227,15,17767
1228,15,13057
1229,15,27581
1230,15,8478
1231,15,10119
1232,15,8651
1233,15,26236
1234,15,11534
1235,15,8380
1236,15,9235
1237,15,8819
1238,15,9527
1239,15,9495
1240,15,9253
1241,15,9546
1242,15,9404
1243,15,8907
1244,15,8935
1245,15,9357
1246,15,13451
1247,15,8772
1248,15,8812
1249,15,8510
1250,15,28536
1251,15,8680
1252,15,8708
1253,15,8802
1254,15,14646
1255,15,15089
1256,15,11739
1257,15,9865
1258,15,9752
1259,15,12084
1260,15,10086
1261,15,8687
1262,15,9673
1263,15,8575
1264,15,28769
1265,15,14675
1266,15,29347
1267,15,9282
1268,15,13535
1269,15,7875
1270,15,8952
1271,15,9007
1272,15,9846
1273,15,9298
1274,15,9303
1275,15,9685
1276,15,9152
1277,15,8345
1278,15,8790
1279,15,9090
1280,15,15554
1281,15,15613
1282,15,9779
1283,15,8810
1284,15,11670
1285,15,11524
1286,15,8947
1287,15,9234
1288,15,8106
1289,15,8389
1290,15,11917
1291,15,9378
1292,15,8853
1293,15,8725
1294,15,8714
1295,15,9702
1296,15,12711
1297,15,12328
1298,15,8855
1299,15,10868
1300,15,10012
1301,15,7980
1302,15,8638
1303,15,12272
1304,15,15476
1305,15,10122
1306,15,11204
1307,15,11854
1308,15,8680
1309,15,11922
1310,15,11606
1311,15,10139
1312,15,9563
1313,15,8013
1314,15,9167
1315,15,10077
1316,15,8575
1317,15,9636
1318,15,8468
1319,15,8546
1320,15,28233
1321,15,12023
1322,15,14156
1323,15,9181
1324,15,9451
1325,15,9957
1326,15,8243
1327,15,9044
1328,15,8055
1329,15,14320
1330,15,17499
1331,15,14615
1332,15,14651
1333,15,8366
1334,15,29720
1335,15,10069
1336,15,16243
1337,15,11046
1338,15,9902
1339,15,10830
1340,15,9155
1341,15,16600
1342,15,10890
1343,15,10532
1344,15,11739
1345,15,16906
1346,15,13992
1347,15,12743
1348,15,14562
1349,15,17330
1350,15,13330
1351,15,12053
1352,15,10568
1353,15,12104
1354,15,11496
1355,15,12578
1356,15,11495
1357,15,12875
1358,15,15724
1359,15,12550
1360,15,9581
1361,15,12160
1362,15,8649
1363,15,29333
1364,15,9155
1365,15,11882
1366,15,17807
1367,15,13512
1368,15,9814
1369,15,10542
1370,15,8611
1371,15,8031
1372,15,7772
1373,15,13185
1374,15,7942
1375,15,14749
1376,15,14812
1377,15,8132
1378,15,14535
1379,15,15635
1380,15,9556
1381,15,8173
1382,15,15593
1383,15,14403
1384,15,13117
1385,15,27797
1386,15,8439
1387,15,8432
1388,15,8398
1389,15,15151
1390,15,17921
1391,15,8688
1392,15,15992
1393,15,9768
1394,15,13028
1395,15,9513
1396,15,17316
1397,15,14331
1398,15,14216
1399,15,15207
1400,15,10154
1401,15,18225
1402,15,12687
1403,15,8704
1404,15,8745
1405,15,8432
1406,15,7473
1407,15,13779
1408,15,14318
1409,15,14401
1410,15,13229
1411,15,9067
1412,15,9016
1413,15,12969
1414,15,10936
1415,15,9174
1416,15,9610
1417,15,28594
1418,15,9015
1419,15,8258
1420,15,9765
1421,15,8804
1422,15,8650
1423,15,9023
1424,15,8330
1425,15,12246
1426,15,12319
1427,15,8150
1428,15,8602
1429,15,13902
1430,15,16837
1431,15,28235
1432,15,18495
1433,15,16703
1434,15,15425
1435,15,16913
1436,15,9719
1437,15,9858
1438,15,8734
1439,15,8608
1440,15,10256
1441,15,10421
1442,15,8726
1443,15,21916
1444,15,27350
1445,15,8975
1446,15,7911
1447,15,8233
1448,15,17864
1449,15,16630
1450,15,8714
1451,15,9247
1452,15,10400
1453,15,8104
1454,15,8915
1455,15,8664
1456,15,12537
1457,15,8637
1458,15,8382
1459,15,8189
1460,15,9318
1461,15,9746
1462,15,9267
1463,15,11053
1464,15,8281
1465,15,10903
1466,15,9313
1467,15,8457
1468,15,8259
1469,15,7992
1470,15,8636
1471,15,8144
1472,15,15005
1473,15,14538
1474,15,10188
1475,15,10607
1476,15,9910
1477,15,7866
1478,15,14632
1479,15,9795
1480,15,8725
1481,15,8182
1482,15,14438
1483,15,11245
1484,15,8919
1485,15,28064
1486,15,8344
1487,15,31767
1488,15,21554
1489,15,29741
1490,15,18329
1491,15,10228
1492,15,8469
1493,15,8087
1494,15,9181
1495,15,8176
1496,15,12365
1497,15,13871
