frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
3290,1920,1080,1704138623412731269,1704138623550154531,55,137423262,219,1
3303,1920,1080,1704138625598911667,1704138625736134583,55,137222916,220,1
3311,1920,1080,1704138626885840822,1704138627014653211,55,128812389,221,1
3346,1920,1080,1704138632719371646,1704138632850498180,60,131126534,222,1
3348,1920,1080,1704138633076712993,1704138633206185423,60,129472430,223,1
3349,1920,1080,1704138633264196718,1704138633396995023,60,132798305,224,1
3380,1920,1080,1704138638052683164,1704138638186420526,60,133737362,225,1
3389,1920,1080,1704138639458663416,1704138639596927728,60,138264312,226,1
3421,1920,1080,1704138644467304270,1704138644607979399,60,140675129,227,1
3446,1920,1080,1704138648174186380,1704138648307819735,60,133633355,228,1
3452,1920,1080,1704138649100364621,1704138649235477069,60,135112448,229,1
3462,1920,1080,1704138650729606153,1704138650864860610,60,135254457,230,1
3464,1920,1080,1704138651117764755,1704138651256256081,60,138491326,231,1
3474,1920,1080,1704138652648721140,1704138652788349536,60,139628396,232,1
3486,1920,1080,1704138654711004741,1704138654847709954,60,136705213,233,1
3487,1920,1080,1704138654907319014,1704138655047621453,60,140302439,234,1
3512,1920,1080,1704138658898752883,1704138659026267854,60,127514971,235,1
3513,1920,1080,1704138659080030215,1704138659212235480,60,132205265,236,1
3518,1920,1080,1704138659816439586,1704138659955624954,60,139185368,237,1
3523,1920,1080,1704138660638902336,1704138660778908088,60,140005752,238,1
3534,1920,1080,1704138662575090708,1704138662702458337,60,127367629,239,1
3538,1920,1080,1704138663196033525,1704138663324423551,60,128390026,240,1
3540,1920,1080,1704138663518773033,1704138663642146413,60,123373380,241,1
3541,1920,1080,1704138663704728658,1704138663846018490,60,141289832,242,1
3586,1920,1080,1704138670588282948,1704138670721160253,60,132877305,243,1
3603,1920,1080,1704138672917653215,1704138673048264045,60,130610830,244,1
3613,1920,1080,1704138674422523943,1704138674560986264,65,138462321,245,1
3625,1920,1080,1704138676387710107,1704138676527133822,65,139423715,246,1
3670,1920,1080,1704138683670310938,1704138683798456613,65,128145675,247,1
3673,1920,1080,1704138684103340334,1704138684235215576,65,131875242,248,1
3677,1920,1080,1704138684719129486,1704138684849820320,65,130690834,249,1
3680,1920,1080,1704138685217895990,1704138685351485006,65,133589016,250,1
3686,1920,1080,1704138686223139814,1704138686353282947,65,130143133,251,1
3706,1920,1080,1704138689464998078,1704138689594489171,65,129491093,252,1
3713,1920,1080,1704138690555489559,1704138690681721115,65,126231556,253,1
3718,1920,1080,1704138691380485782,1704138691514900182,65,134414400,254,1
3719,1920,1080,1704138691571167031,1704138691703976997,65,132809966,255,1
3726,1920,1080,1704138692714421141,1704138692853122809,65,138701668,256,1
3736,1920,1080,1704138694291767043,1704138694421944178,65,130177135,257,1
3742,1920,1080,1704138695308514246,1704138695436134554,65,127620308,258,1
3745,1920,1080,1704138695745370544,1704138695887095401,65,141724857,259,1
3751,1920,1080,1704138696547934028,1704138696680992343,65,133058315,260,1
3771,1920,1080,1704138699683261612,1704138699822108955,65,138847343,261,1
3790,1920,1080,1704138702638733951,1704138702774707447,65,135973496,262,1
3801,1920,1080,1704138704389944705,1704138704524335102,65,134390397,263,1
3802,1920,1080,1704138704582644079,1704138704720017662,65,137373583,264,1
3803,1920,1080,1704138704780989472,1704138704913006054,65,132016582,265,1
3820,1920,1080,1704138707425822391,1704138707562282250,65,136459859,266,1
3822,1920,1080,1704138707751379399,1704138707879517405,65,128138006,267,1
3843,1920,1080,1704138710994242343,1704138711116720661,65,122478318,268,1
3845,1920,1080,1704138711350639276,1704138711496772073,65,146132797,269,1
3846,1920,1080,1704138711562229496,1704138711716416796,65,154187300,270,1
3849,1920,1080,1704138712069459519,1704138712203336884,65,133877365,271,1
3854,1920,1080,1704138712860581946,1704138712990660073,65,130078127,272,1
3857,1920,1080,1704138713352995044,1704138713492049064,65,139054020,273,1
3866,1920,1080,1704138714759890607,1704138714886396511,65,126505904,274,1
3887,1920,1080,1704138718175929354,1704138718310658104,65,134728750,275,1
3910,1920,1080,1704138721718618672,1704138721854063466,65,135444794,276,1
3916,1920,1080,1704138722721044960,1704138722853880258,70,132835298,277,1
3928,1920,1080,1704138724637118322,1704138724763098525,70,125980203,278,1
3931,1920,1080,1704138725197767011,1704138725338919495,70,141152484,279,1
3945,1920,1080,1704138727567582047,1704138727699470952,70,131888905,280,1
3954,1920,1080,1704138728925599544,1704138729058647854,70,133048310,281,1
3958,1920,1080,1704138729557684360,1704138729688745214,70,131060854,282,1
3967,1920,1080,1704138730895317915,1704138731029251948,70,133934033,283,1
3971,1920,1080,1704138731547465651,1704138731686389328,70,138923677,284,1
3996,1920,1080,1704138735168889854,1704138735302707546,70,133817692,285,1
3997,1920,1080,1704138735363569681,1704138735498340765,70,134771084,286,1
4002,1920,1080,1704138736099255966,1704138736234121723,70,134865757,287,1
4005,1920,1080,1704138736588597530,1704138736726398137,70,137800607,288,1
4057,1920,1080,1704138744369392501,1704138744503171857,70,133779356,289,1
4064,1920,1080,1704138745672017857,1704138745806669933,70,134652076,290,1
4117,1920,1080,1704138753837325461,1704138753975089398,70,137763937,291,1
4124,1920,1080,1704138754941592421,1704138755071213516,70,129621095,292,1
4138,1920,1080,1704138756969132703,1704138757105025856,70,135893153,293,1
4142,1920,1080,1704138757646748685,1704138757780879728,70,134131043,294,1
4146,1920,1080,1704138758205154889,1704138758338745231,70,133590342,295,1
4171,1920,1080,1704138761744728585,1704138761890172667,70,145444082,296,1
4179,1920,1080,1704138763074604627,1704138763202652289,70,128047662,297,1
4180,1920,1080,1704138763257845402,1704138763389766307,70,131920905,298,1
4185,1920,1080,1704138764046748997,1704138764179918313,70,133169316,299,1
4207,1920,1080,1704138767426351025,1704138767557067187,70,130716162,300,1
4235,1920,1080,1704138771746071078,1704138771883107967,75,137036889,301,1
4236,1920,1080,1704138771943136715,1704138772078168480,75,135031765,302,1
4237,1920,1080,1704138772133292588,1704138772268956059,75,135663471,303,1
4264,1920,1080,1704138776280226174,1704138776415044258,75,134818084,304,1
4269,1920,1080,1704138777051238645,1704138777184283285,75,133044640,305,1
4311,1920,1080,1704138783555647732,1704138783675972911,75,120325179,306,1
4324,1920,1080,1704138785510128083,1704138785642029985,75,131901902,307,1
4350,1920,1080,1704138789372773888,1704138789516454191,75,143680303,308,1
4357,1920,1080,1704138790490884688,1704138790625478424,75,134593736,309,1
4360,1920,1080,1704138791023521605,1704138791154923808,75,131402203,310,1
4361,1920,1080,1704138791211147318,1704138791339919357,75,128772039,311,1
4363,1920,1080,1704138791574736015,1704138791712695294,75,137959279,312,1
